condsFile,subStage,cue1,cue2,correct,responseKeys,responseNames,cue1Position,cue2Position,cue1Opacity,cue2Opacity,stageLoop0.thisRepN,stageLoop0.thisTrialN,stageLoop0.thisN,stageLoop0.thisIndex,blockLoop0.thisRepN,blockLoop0.thisTrialN,blockLoop0.thisN,blockLoop0.thisIndex,stage1Loop.thisRepN,stage1Loop.thisTrialN,stage1Loop.thisN,stage1Loop.thisIndex,blockLoop1.thisRepN,blockLoop1.thisTrialN,blockLoop1.thisN,blockLoop1.thisIndex,cuePics,id_instr_text.started,id_instr_text.stopped,space_to_continue_2.started,space_to_continue_2.stopped,end_instructions_resp_3.keys,end_instructions_resp_3.rt,end_instructions_resp_3.started,end_instructions_resp_3.stopped,id_input_instr.started,id_input_instr.stopped,id_input_rect.started,id_input_rect.stopped,id_input_resp.keys,id_input_resp.rt,id_input_resp.started,id_input_resp.stopped,sonaID,id_input_text.started,id_input_text.stopped,final_text.started,final_text.stopped,instructions.started,instructions.stopped,end_instructions_resp.keys,end_instructions_resp.rt,end_instructions_resp.started,end_instructions_resp.stopped,space_to_continue.started,space_to_continue.stopped,instructions_stage0.started,instructions_stage0.stopped,end_instructions_resp_stage0.keys,end_instructions_resp_stage0.rt,end_instructions_resp_stage0.started,end_instructions_resp_stage0.stopped,space_to_continue_stage0.started,space_to_continue_stage0.stopped,text.started,text.stopped,resp_text1.started,resp_text1.stopped,resp_text2.started,resp_text2.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,cue1Image.started,cue1Image.stopped,cue2Image.started,cue2Image.stopped,cue1Image_fb.started,cue1Image_fb.stopped,cue2Image_fb.started,cue2Image_fb.stopped,fb_text_answer.started,fb_text_answer.stopped,feedback_image.started,feedback_image.stopped,instructions_stage1.started,instructions_stage1.stopped,end_instructions_resp_stage1.keys,end_instructions_resp_stage1.rt,end_instructions_resp_stage1.started,end_instructions_resp_stage1.stopped,space_to_continue_stage1.started,space_to_continue_stage1.stopped,session,participant,date,expName,psychopyVersion,frameRate,
condition files/Stage1_1.xlsx,,B4,T4,m,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,4,4,4,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749.4809851320006,None,1749.4809851320006,None,1749.4809851320006,None,m,1,0.6918008209995605,1751.0159587260005,None,1751.0159587260005,None,1751.0159587260005,None,1751.7644759039995,None,1751.7644759039995,None,1751.7644759039995,None,1751.7644759039995,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_1.xlsx,,B3,T3,c,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,4,4,4,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1753.7310522829994,None,1753.7310522829994,None,1753.7310522829994,None,c,1,0.7628494990003674,1755.26488092,None,1755.26488092,None,1755.26488092,None,1756.0826399029993,None,1756.0826399029993,None,1756.0826399029993,None,1756.0826399029993,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_2.xlsx,,B3,T4,m,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,5,5,5,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1758.0643488229998,None,1758.0643488229998,None,1758.0643488229998,None,m,1,0.5238205360001302,1759.5999347840007,None,1759.5999347840007,None,1759.5999347840007,None,1760.1831139240003,None,1760.1831139240003,None,1760.1831139240003,None,1760.1831139240003,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_2.xlsx,,T1,B2,m,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,5,5,5,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1762.1480702949993,None,1762.1480702949993,None,1762.1480702949993,None,c,0,0.8417385869997815,1763.6820442690005,None,1763.6820442690005,None,1763.6820442690005,None,1764.5816590590002,None,1764.5816590590002,None,1764.5816590590002,None,1764.5816590590002,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_2.xlsx,,T2,B1,c,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,5,5,5,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766.5476474940006,None,1766.5476474940006,None,1766.5476474940006,None,m,0,0.6026821649993508,1768.0810169079996,None,1768.0810169079996,None,1768.0810169079996,None,1768.750582834,None,1768.750582834,None,1768.750582834,None,1768.750582834,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_2.xlsx,,B4,T3,c,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,5,5,5,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770.714463663,None,1770.714463663,None,1770.714463663,None,c,1,0.6924186169999302,1772.2473541349991,None,1772.2473541349991,None,1772.2473541349991,None,1772.9980598109996,None,1772.9980598109996,None,1772.9980598109996,None,1772.9980598109996,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_2.xlsx,,T4,B4,m,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,5,5,5,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.9644561820005,None,1774.9644561820005,None,1774.9644561820005,None,c,0,0.5835096320006414,1776.5001833099996,None,1776.5001833099996,None,1776.5001833099996,None,1777.149918604,None,1777.149918604,None,1777.149918604,None,1777.149918604,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_2.xlsx,,B2,T2,m,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,5,5,5,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779.1137947379993,None,1779.1137947379993,None,1779.1137947379993,None,m,1,0.641994989999148,1780.6497857840004,None,1780.6497857840004,None,1780.6497857840004,None,1781.3472834149998,None,1781.3472834149998,None,1781.3472834149998,None,1781.3472834149998,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_2.xlsx,,B1,T1,c,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,5,5,5,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783.3143530899997,None,1783.3143530899997,None,1783.3143530899997,None,c,1,0.796282240000437,1784.8474138010006,None,1784.8474138010006,None,1784.8474138010006,None,1785.7146473539997,None,1785.7146473539997,None,1785.7146473539997,None,1785.7146473539997,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_2.xlsx,,T3,B3,c,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,5,5,5,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787.6644243739993,None,1787.6644243739993,None,1787.6644243739993,None,c,1,0.6220334690005984,1789.197674261999,None,1789.197674261999,None,1789.197674261999,None,1789.881280956999,None,1789.881280956999,None,1789.881280956999,None,1789.881280956999,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_1.xlsx,,B1,T2,c,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,6,6,6,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791.863825598999,None,1791.863825598999,None,1791.863825598999,None,c,1,0.8856939580000471,1793.3979991630003,None,1793.3979991630003,None,1793.3979991630003,None,1794.3479834980008,None,1794.3479834980008,None,1794.3479834980008,None,1794.3479834980008,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_1.xlsx,,B3,T3,c,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,6,6,6,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.3143003690002,None,1796.3143003690002,None,1796.3143003690002,None,m,0,0.8040888849991461,1797.847592045,None,1797.847592045,None,1797.847592045,None,1798.7143276860006,None,1798.7143276860006,None,1798.7143276860006,None,1798.7143276860006,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_1.xlsx,,T2,B2,m,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,6,6,6,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.6809972739993,None,1800.6809972739993,None,1800.6809972739993,None,c,0,0.6602467789998627,1802.2315115349993,None,1802.2315115349993,None,1802.2315115349993,None,1802.9493988310005,None,1802.9493988310005,None,1802.9493988310005,None,1802.9493988310005,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_1.xlsx,,T4,B3,m,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,6,6,6,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804.9142621600004,None,1804.9142621600004,None,1804.9142621600004,None,m,1,0.41174563400090847,1806.4479337770008,None,1806.4479337770008,None,1806.4479337770008,None,1806.9147662350006,None,1806.9147662350006,None,1806.9147662350006,None,1806.9147662350006,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
condition files/Stage1_1.xlsx,,T1,B1,c,"['c', 'm']","['Clue', 'Monopoly']","[-0.15, 0.5]","[0.15, 0.5]",1,1,,,,,,,,,0,6,6,6,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808.8810053109992,None,1808.8810053109992,None,1808.8810053109992,None,c,1,1.4210343670001748,1810.4146670629998,None,1810.4146670629998,None,1810.4146670629998,None,1811.8986097800007,None,1811.8986097800007,None,1811.8986097800007,None,1811.8986097800007,None,,,,,,,,,001,165,2020_Feb_25_1140,spring_faces,3.1.5,59.95561413983108,
