condsFile,subStage,cue1,cue2,correct,responseKeys,responseNames,cue1Position,cue2Position,cue1Opacity,cue2Opacity,stageLoop0.thisRepN,stageLoop0.thisTrialN,stageLoop0.thisN,stageLoop0.thisIndex,blockLoop0.thisRepN,blockLoop0.thisTrialN,blockLoop0.thisN,blockLoop0.thisIndex,stage1Loop.thisRepN,stage1Loop.thisTrialN,stage1Loop.thisN,stage1Loop.thisIndex,blockLoop1.thisRepN,blockLoop1.thisTrialN,blockLoop1.thisN,blockLoop1.thisIndex,stage2Loop.thisRepN,stage2Loop.thisTrialN,stage2Loop.thisN,stage2Loop.thisIndex,blockLoop2.thisRepN,blockLoop2.thisTrialN,blockLoop2.thisN,blockLoop2.thisIndex,testLoop.thisRepN,testLoop.thisTrialN,testLoop.thisN,testLoop.thisIndex,blockLoopTest.thisRepN,blockLoopTest.thisTrialN,blockLoopTest.thisN,blockLoopTest.thisIndex,cuePics,id_instr_text.started,id_instr_text.stopped,space_to_continue_2.started,space_to_continue_2.stopped,end_instructions_resp_3.keys,end_instructions_resp_3.rt,end_instructions_resp_3.started,end_instructions_resp_3.stopped,id_input_instr.started,id_input_instr.stopped,id_input_rect.started,id_input_rect.stopped,id_input_resp.keys,id_input_resp.rt,id_input_resp.started,id_input_resp.stopped,sonaID,id_input_text.started,id_input_text.stopped,final_text.started,final_text.stopped,instructions.started,instructions.stopped,end_instructions_resp.keys,end_instructions_resp.rt,end_instructions_resp.started,end_instructions_resp.stopped,space_to_continue.started,space_to_continue.stopped,instructions_stage0.started,instructions_stage0.stopped,end_instructions_resp_stage0.keys,end_instructions_resp_stage0.rt,end_instructions_resp_stage0.started,end_instructions_resp_stage0.stopped,space_to_continue_stage0.started,space_to_continue_stage0.stopped,text.started,text.stopped,resp_text1.started,resp_text1.stopped,resp_text2.started,resp_text2.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,cue1Image.started,cue1Image.stopped,cue2Image.started,cue2Image.stopped,cue1Image_fb.started,cue1Image_fb.stopped,cue2Image_fb.started,cue2Image_fb.stopped,fb_text_answer.started,fb_text_answer.stopped,feedback_image.started,feedback_image.stopped,instructions_stage1.started,instructions_stage1.stopped,end_instructions_resp_stage1.keys,end_instructions_resp_stage1.rt,end_instructions_resp_stage1.started,end_instructions_resp_stage1.stopped,space_to_continue_stage1.started,space_to_continue_stage1.stopped,instructions_2.started,instructions_2.stopped,end_instructions_resp_2.keys,end_instructions_resp_2.rt,end_instructions_resp_2.started,end_instructions_resp_2.stopped,press_space_to_continue_stage2.started,press_space_to_continue_stage2.stopped,instructions_testStage1.started,instructions_testStage1.stopped,end_instructions_resp_test1.keys,end_instructions_resp_test1.rt,end_instructions_resp_test1.started,end_instructions_resp_test1.stopped,press_space_to_continue_test1.started,press_space_to_continue_test1.stopped,cue1Image_testChoice.started,cue1Image_testChoice.stopped,cue2Image_testChoice.started,cue2Image_testChoice.stopped,test_resp.keys,test_resp.corr,test_resp.rt,test_resp.started,test_resp.stopped,cue1Image_testConf.started,cue1Image_testConf.stopped,cue2Image_testConf.started,cue2Image_testConf.stopped,conf_reminder.started,conf_reminder.stopped,conf_rating.response,conf_rating.rt,conf_rating.started,conf_rating.stopped,text_2.started,text_2.stopped,end_slots_resp.keys,end_slots_resp.rt,end_slots_resp.started,end_slots_resp.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'none': 'pictures/20M_AN_C.png', 'alpha': 'pictures/SHINEd_melon.png', 'beta': 'pictures/SHINEd_pepper.png', 'theta': 'pictures/SHINEd_pear.png', 'phi': 'pictures/SHINEd_apple.png', 'T1': 'pictures/25M_AN_C.png', 'T2': 'pictures/20M_AN_C.png', 'T3': 'pictures/38M_AN_C.png', 'T4': 'pictures/36M_AN_C.png', 'T5': 'pictures/33M_AN_C.png', 'T6': 'pictures/22M_AN_C.png', 'B1': 'pictures/23M_NE_C.png', 'B2': 'pictures/26M_NE_C.png', 'B3': 'pictures/32M_NE_C.png', 'B4': 'pictures/31M_NE_C.png', 'B5': 'pictures/37M_NE_C.png', 'B6': 'pictures/34M_NE_C.png'}",32.135230685999886,None,37.117991244999985,None,space,139.04974785399986,37.117991244999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,172,2020_Feb_27_0901,spring_faces,3.1.5,59.96578196570611,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.7016405989998,None,176.7016405989998,None,"['0', '4', '0', '8', 'h', 'o', 'backspace', 'backspace', 'h', 'o', 's', 'h', 'e', '0', '4', '0', '8', 'h', 'h', 'backspace', 'backspace', 'h', 'o', 's', 'h', 'e', 'backspace', '0', '4', '0', '8', 'h', 'o', 's', 'x', 'z']","[22.666041190999977, 24.074032004999935, 29.386043207000057, 29.64208812300012, 37.54604822800002, 38.02608559400005, 41.033987889999935, 41.33805881000012, 42.39401514299993, 42.71404184400012, 56.77800309600002, 57.19401197100001, 57.53003137299993, 67.80197983700009, 67.96204171, 68.13806035700009, 69.51402536, 70.63400227900001, 72.17004489400006, 73.01798699000005, 73.13011338299998, 74.76201881199995, 75.65809982299993, 76.858108055, 77.14605130600012, 77.417991347, 78.52211230700004, 83.59404969499997, 84.13806140199995, 84.36201755699994, 84.68204247099993, 85.86605437399999, 86.18604228100003, 86.76202046100002, 87.00200205200008, 87.19404611300001]",176.7016405989998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,172,2020_Feb_27_0901,spring_faces,3.1.5,59.96578196570611,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0408hosxz,176.7016405989998,None,176.7016405989998,None,268.9684786189998,None,space,12.759700960999908,273.9680252019998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,172,2020_Feb_27_0901,spring_faces,3.1.5,59.96578196570611,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.9680252019998,None,286.7680863429998,None,space,8.095332861000088,291.7683546029998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,172,2020_Feb_27_0901,spring_faces,3.1.5,59.96578196570611,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.7683546029998,None,300.03541955799983,None,300.03541955799983,None,300.03541955799983,None,h,1,4.74270965300002,301.6010527189999,None,301.6010527189999,None,301.6010527189999,None,306.4517629019999,None,306.4517629019999,None,306.4517629019999,None,306.4517629019999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,172,2020_Feb_27_0901,spring_faces,3.1.5,59.96578196570611,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.3674093169998,None,308.3674093169998,None,308.3674093169998,None,h,0,4.472193355000172,309.9035721829998,None,309.9035721829998,None,309.9035721829998,None,314.4843997669998,None,314.4843997669998,None,314.4843997669998,None,314.4843997669998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,172,2020_Feb_27_0901,spring_faces,3.1.5,59.96578196570611,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.418620982,None,316.418620982,None,316.418620982,None,g,1,0.8563157680000586,317.9513964749999,None,317.9513964749999,None,317.9513964749999,None,318.8681977269998,None,318.8681977269998,None,318.8681977269998,None,318.8681977269998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,172,2020_Feb_27_0901,spring_faces,3.1.5,59.96578196570611,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.83456114599994,None,320.83456114599994,None,320.83456114599994,None,h,1,1.175653748999821,322.36809009599983,None,322.36809009599983,None,322.36809009599983,None,323.6019363339999,None,323.6019363339999,None,323.6019363339999,None,323.6019363339999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,172,2020_Feb_27_0901,spring_faces,3.1.5,59.96578196570611,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.5850228959998,None,325.5850228959998,None,325.5850228959998,None,h,1,1.1139663579999706,327.11778867399994,None,327.11778867399994,None,327.11778867399994,None,328.28508943099996,None,328.28508943099996,None,328.28508943099996,None,328.28508943099996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,172,2020_Feb_27_0901,spring_faces,3.1.5,59.96578196570611,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.2513667229998,None,330.2513667229998,None,330.2513667229998,None,g,1,0.926498052999932,331.78525971299996,None,331.78525971299996,None,331.78525971299996,None,332.76861091699993,None,332.76861091699993,None,332.76861091699993,None,332.76861091699993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,172,2020_Feb_27_0901,spring_faces,3.1.5,59.96578196570611,
