condsFile,subStage,cue1,cue2,correct,responseKeys,responseNames,cue1Position,cue2Position,cue1Opacity,cue2Opacity,stageLoop0.thisRepN,stageLoop0.thisTrialN,stageLoop0.thisN,stageLoop0.thisIndex,blockLoop0.thisRepN,blockLoop0.thisTrialN,blockLoop0.thisN,blockLoop0.thisIndex,stage1Loop.thisRepN,stage1Loop.thisTrialN,stage1Loop.thisN,stage1Loop.thisIndex,blockLoop1.thisRepN,blockLoop1.thisTrialN,blockLoop1.thisN,blockLoop1.thisIndex,stage2Loop.thisRepN,stage2Loop.thisTrialN,stage2Loop.thisN,stage2Loop.thisIndex,blockLoop2.thisRepN,blockLoop2.thisTrialN,blockLoop2.thisN,blockLoop2.thisIndex,cuePics,id_instr_text.started,id_instr_text.stopped,space_to_continue_2.started,space_to_continue_2.stopped,end_instructions_resp_3.keys,end_instructions_resp_3.rt,end_instructions_resp_3.started,end_instructions_resp_3.stopped,id_input_instr.started,id_input_instr.stopped,id_input_rect.started,id_input_rect.stopped,id_input_resp.keys,id_input_resp.rt,id_input_resp.started,id_input_resp.stopped,sonaID,id_input_text.started,id_input_text.stopped,final_text.started,final_text.stopped,instructions.started,instructions.stopped,end_instructions_resp.keys,end_instructions_resp.rt,end_instructions_resp.started,end_instructions_resp.stopped,space_to_continue.started,space_to_continue.stopped,instructions_stage0.started,instructions_stage0.stopped,end_instructions_resp_stage0.keys,end_instructions_resp_stage0.rt,end_instructions_resp_stage0.started,end_instructions_resp_stage0.stopped,space_to_continue_stage0.started,space_to_continue_stage0.stopped,text.started,text.stopped,resp_text1.started,resp_text1.stopped,resp_text2.started,resp_text2.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,cue1Image.started,cue1Image.stopped,cue2Image.started,cue2Image.stopped,cue1Image_fb.started,cue1Image_fb.stopped,cue2Image_fb.started,cue2Image_fb.stopped,fb_text_answer.started,fb_text_answer.stopped,feedback_image.started,feedback_image.stopped,instructions_stage1.started,instructions_stage1.stopped,end_instructions_resp_stage1.keys,end_instructions_resp_stage1.rt,end_instructions_resp_stage1.started,end_instructions_resp_stage1.stopped,space_to_continue_stage1.started,space_to_continue_stage1.stopped,instructions_2.started,instructions_2.stopped,end_instructions_resp_2.keys,end_instructions_resp_2.rt,end_instructions_resp_2.started,end_instructions_resp_2.stopped,press_space_to_continue_stage2.started,press_space_to_continue_stage2.stopped,session,participant,date,expName,psychopyVersion,frameRate,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.4169314230021,None,142.4169314230021,None,142.4169314230021,None,h,1,0.727452720002475,143.94990448799945,None,143.94990448799945,None,143.94990448799945,None,144.73346273900097,None,144.73346273900097,None,144.73346273900097,None,144.73346273900097,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.6998978260017,None,146.6998978260017,None,146.6998978260017,None,g,1,0.41151719999834313,148.2337868550021,None,148.2337868550021,None,148.2337868550021,None,148.69908312199914,None,148.69908312199914,None,148.69908312199914,None,148.69908312199914,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,4,4,4,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.6831218490006,None,150.6831218490006,None,150.6831218490006,None,g,1,0.8924463809998997,152.21691978799936,None,152.21691978799936,None,152.21691978799936,None,153.16692338999928,None,153.16692338999928,None,153.16692338999928,None,153.16692338999928,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,4,4,4,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.13323476699952,None,155.13323476699952,None,155.13323476699952,None,h,1,0.9227590330010571,156.6665394519987,None,156.6665394519987,None,156.6665394519987,None,157.6502818500012,None,157.6502818500012,None,157.6502818500012,None,157.6502818500012,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.63286184499884,None,159.63286184499884,None,159.63286184499884,None,h,1,0.8863180870030192,161.1669839890019,None,161.1669839890019,None,161.1669839890019,None,162.11721538599886,None,162.11721538599886,None,162.11721538599886,None,162.11721538599886,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,5,5,5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.08328874200015,None,164.08328874200015,None,164.08328874200015,None,g,1,0.4848450249992311,165.6164039860014,None,165.6164039860014,None,165.6164039860014,None,166.16653834099998,None,166.16653834099998,None,166.16653834099998,None,166.16653834099998,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0b_1.xlsx,0b,none,beta,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,6,6,6,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.15016550099972,None,168.15016550099972,None,168.15016550099972,None,g,1,0.8013980340001581,169.69985410699883,None,169.69985410699883,None,169.69985410699883,None,170.56680839900218,None,170.56680839900218,None,170.56680839900218,None,170.56680839900218,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0b_1.xlsx,0b,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,6,6,6,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.53338009800063,None,172.53338009800063,None,172.53338009800063,None,h,1,0.6422087279970583,174.08315109700197,None,174.08315109700197,None,174.08315109700197,None,174.78606861699882,None,174.78606861699882,None,174.78606861699882,None,174.78606861699882,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0b_2.xlsx,0b,beta,none,g,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",1,0,0,7,7,7,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.76595097600148,None,176.76595097600148,None,176.76595097600148,None,g,1,0.7458020779995422,178.29953817600108,None,178.29953817600108,None,178.29953817600108,None,179.1002051860014,None,179.1002051860014,None,179.1002051860014,None,179.1002051860014,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
condition files/Stage0b_2.xlsx,0b,none,alpha,h,"['h', 'g']","['Chess', 'Go']","[-0.15, 0.5]","[0.15, 0.5]",0,1,0,7,7,7,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0664011580011,None,181.0664011580011,None,181.0664011580011,None,h,1,1.1805195990018547,182.61676362800063,None,182.61676362800063,None,182.61676362800063,None,183.85434372300006,None,183.85434372300006,None,183.85434372300006,None,183.85434372300006,None,,,,,,,,,,,,,,,,,001,41,2020_Jan_30_1316,spring_faces,3.1.5,60.01188007262941,
