condsFile,subStage,cue1,cue2,correct,responseKeys,responseNames,cue1Position,cue2Position,cue1Opacity,cue2Opacity,stageLoop0.thisRepN,stageLoop0.thisTrialN,stageLoop0.thisN,stageLoop0.thisIndex,blockLoop0.thisRepN,blockLoop0.thisTrialN,blockLoop0.thisN,blockLoop0.thisIndex,stage1Loop.thisRepN,stage1Loop.thisTrialN,stage1Loop.thisN,stage1Loop.thisIndex,blockLoop1.thisRepN,blockLoop1.thisTrialN,blockLoop1.thisN,blockLoop1.thisIndex,stage2Loop.thisRepN,stage2Loop.thisTrialN,stage2Loop.thisN,stage2Loop.thisIndex,blockLoop2.thisRepN,blockLoop2.thisTrialN,blockLoop2.thisN,blockLoop2.thisIndex,testLoop.thisRepN,testLoop.thisTrialN,testLoop.thisN,testLoop.thisIndex,blockLoopTest.thisRepN,blockLoopTest.thisTrialN,blockLoopTest.thisN,blockLoopTest.thisIndex,cuePics,id_instr_text.started,id_instr_text.stopped,space_to_continue_2.started,space_to_continue_2.stopped,end_instructions_resp_3.keys,end_instructions_resp_3.rt,end_instructions_resp_3.started,end_instructions_resp_3.stopped,id_input_instr.started,id_input_instr.stopped,id_input_rect.started,id_input_rect.stopped,id_input_resp.keys,id_input_resp.rt,id_input_resp.started,id_input_resp.stopped,sonaID,id_input_text.started,id_input_text.stopped,final_text.started,final_text.stopped,instructions.started,instructions.stopped,end_instructions_resp.keys,end_instructions_resp.rt,end_instructions_resp.started,end_instructions_resp.stopped,space_to_continue.started,space_to_continue.stopped,instructions_stage0.started,instructions_stage0.stopped,end_instructions_resp_stage0.keys,end_instructions_resp_stage0.rt,end_instructions_resp_stage0.started,end_instructions_resp_stage0.stopped,space_to_continue_stage0.started,space_to_continue_stage0.stopped,text.started,text.stopped,resp_text1.started,resp_text1.stopped,resp_text2.started,resp_text2.stopped,trial_resp.keys,trial_resp.corr,trial_resp.rt,trial_resp.started,trial_resp.stopped,cue1Image.started,cue1Image.stopped,cue2Image.started,cue2Image.stopped,cue1Image_fb.started,cue1Image_fb.stopped,cue2Image_fb.started,cue2Image_fb.stopped,fb_text_answer.started,fb_text_answer.stopped,feedback_image.started,feedback_image.stopped,instructions_stage1.started,instructions_stage1.stopped,end_instructions_resp_stage1.keys,end_instructions_resp_stage1.rt,end_instructions_resp_stage1.started,end_instructions_resp_stage1.stopped,space_to_continue_stage1.started,space_to_continue_stage1.stopped,instructions_2.started,instructions_2.stopped,end_instructions_resp_2.keys,end_instructions_resp_2.rt,end_instructions_resp_2.started,end_instructions_resp_2.stopped,press_space_to_continue_stage2.started,press_space_to_continue_stage2.stopped,instructions_testStage1.started,instructions_testStage1.stopped,end_instructions_resp_test1.keys,end_instructions_resp_test1.rt,end_instructions_resp_test1.started,end_instructions_resp_test1.stopped,press_space_to_continue_test1.started,press_space_to_continue_test1.stopped,cue1Image_testChoice.started,cue1Image_testChoice.stopped,cue2Image_testChoice.started,cue2Image_testChoice.stopped,test_resp.keys,test_resp.corr,test_resp.rt,test_resp.started,test_resp.stopped,cue1Image_testConf.started,cue1Image_testConf.stopped,cue2Image_testConf.started,cue2Image_testConf.stopped,conf_reminder.started,conf_reminder.stopped,conf_rating.response,conf_rating.rt,conf_rating.started,conf_rating.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'none': 'pictures/20M_AN_C.png', 'alpha': 'pictures/SHINEd_pear.png', 'beta': 'pictures/SHINEd_apple.png', 'theta': 'pictures/SHINEd_melon.png', 'phi': 'pictures/SHINEd_pepper.png', 'T1': 'pictures/32M_AN_C.png', 'T2': 'pictures/23M_AN_C.png', 'T3': 'pictures/20M_AN_C.png', 'T4': 'pictures/22M_AN_C.png', 'T5': 'pictures/31M_AN_C.png', 'T6': 'pictures/38M_AN_C.png', 'B1': 'pictures/26M_NE_C.png', 'B2': 'pictures/25M_NE_C.png', 'B3': 'pictures/37M_NE_C.png', 'B4': 'pictures/34M_NE_C.png', 'B5': 'pictures/36M_NE_C.png', 'B6': 'pictures/33M_NE_C.png'}",1288.194629934,None,1293.193841246,None,space,24.06367863000014,1293.193841246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.760762402,None,1317.760762402,None,"['0', '8', '2', '9', '0', '1', 'backspace', 'backspace', 'j', 'u', 'r', 'u', 's']","[8.840802995999866, 9.640819096999849, 10.152742593999847, 10.744703060999882, 11.112716325999827, 12.088760450999871, 14.680740366999999, 15.032738408999876, 21.256800955000017, 21.44873672599988, 24.392810216999806, 25.128732317999948, 32.56868528199993]",1317.760762402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0829jurus,1317.760762402,None,1317.760762402,None,1355.410597348,None,space,1.0388605050000024,1360.410660415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.410660415,None,1361.494003161,None,space,5.195657167999798,1366.493880866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366.493880866,None,1371.8274770409998,None,1371.8274770409998,None,1371.8274770409998,None,h,0,1.6542765870001404,1373.4272583289999,None,1373.4272583289999,None,1373.4272583289999,None,1375.177369195,None,1375.177369195,None,1375.177369195,None,1375.177369195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377.110488841,None,1377.110488841,None,1377.110488841,None,h,1,1.3311996380000437,1378.678295966,None,1378.678295966,None,1378.678295966,None,1380.093845329,None,1380.093845329,None,1380.093845329,None,1380.093845329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382.044282693,None,1382.044282693,None,1382.044282693,None,h,1,0.736974544999839,1383.560535371,None,1383.560535371,None,1383.560535371,None,1384.360667166,None,1384.360667166,None,1384.360667166,None,1384.360667166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386.327596403,None,1386.327596403,None,1386.327596403,None,g,1,0.6448553349998747,1387.860638256,None,1387.860638256,None,1387.860638256,None,1388.560711639,None,1388.560711639,None,1388.560711639,None,1388.560711639,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390.543549865,None,1390.543549865,None,1390.543549865,None,h,1,0.6519172560001607,1392.0776059529999,None,1392.0776059529999,None,1392.0776059529999,None,1392.7936233389999,None,1392.7936233389999,None,1392.7936233389999,None,1392.7936233389999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1394.760508074,None,1394.760508074,None,1394.760508074,None,g,1,0.6277067020000686,1396.2938838139999,None,1396.2938838139999,None,1396.2938838139999,None,1396.976912402,None,1396.976912402,None,1396.976912402,None,1396.976912402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398.9608340099999,None,1398.9608340099999,None,1398.9608340099999,None,h,1,0.69931279299999,1400.494209791,None,1400.494209791,None,1400.494209791,None,1401.244013586,None,1401.244013586,None,1401.244013586,None,1401.244013586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,3,3,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403.2105733639999,None,1403.2105733639999,None,1403.2105733639999,None,g,1,0.5771531939999477,1404.74436696,None,1404.74436696,None,1404.74436696,None,1405.377288182,None,1405.377288182,None,1405.377288182,None,1405.377288182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407.3600020249999,None,1407.3600020249999,None,1407.3600020249999,None,h,1,0.5555333939998945,1408.893987446,None,1408.893987446,None,1408.893987446,None,1409.51067706,None,1409.51067706,None,1409.51067706,None,1409.51067706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,4,4,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411.477314435,None,1411.477314435,None,1411.477314435,None,g,1,0.5347042620001048,1413.0108022539998,None,1413.0108022539998,None,1413.0108022539998,None,1413.61031385,None,1413.61031385,None,1413.61031385,None,1413.61031385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,alpha,none,h,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1415.593591575,None,1415.593591575,None,1415.593591575,None,h,1,0.6107978379998258,1417.1267958189999,None,1417.1267958189999,None,1417.1267958189999,None,1417.793641458,None,1417.793641458,None,1417.793641458,None,1417.793641458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
condition files/Stage0a.xlsx,0a,beta,none,g,"['h', 'g']","['Chess', 'Go']","[0, 0.5]","[0, 0]",1,0,0,5,5,5,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.760342158,None,1419.760342158,None,1419.760342158,None,g,1,1.4668263389999083,1421.2946650889999,None,1421.2946650889999,None,1421.2946650889999,None,1422.827425865,None,1422.827425865,None,1422.827425865,None,1422.827425865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,23,2020_Jan_30_0900,spring_faces,3.1.5,60.3463245392295,
