cuePics,consent_page1.started,consent_page1.stopped,er_consent1.keys,er_consent1.rt,er_consent1.started,er_consent1.stopped,stc_consent1.started,stc_consent1.stopped,session,participant,date,expName,psychopyVersion,frameRate,
"{'none': 'pictures/20M_AN_C.png', 'alpha': 'pictures/SHINEd_apple.png', 'beta': 'pictures/SHINEd_melon.png', 'theta': 'pictures/SHINEd_pear.png', 'phi': 'pictures/SHINEd_pepper.png', 'T1': 'pictures/25M_AN_C.png', 'T2': 'pictures/22M_AN_C.png', 'T3': 'pictures/34M_AN_C.png', 'T4': 'pictures/38M_AN_C.png', 'T5': 'pictures/26M_AN_C.png', 'T6': 'pictures/33M_AN_C.png', 'B1': 'pictures/32M_NE_C.png', 'B2': 'pictures/31M_NE_C.png', 'B3': 'pictures/36M_NE_C.png', 'B4': 'pictures/23M_NE_C.png', 'B5': 'pictures/20M_NE_C.png', 'B6': 'pictures/37M_NE_C.png'}",6962.435626844001,None,space,32.00233528699937,6970.368256502001,None,,,001,NDARGR305EJL,2020_Sep_17_1210,fall_faces,2020.2.4,59.99932416777493,
,,,,,,,6970.368256502001,None,,,,,,,
