IDCode,Section Sum,mjon1,mjon2,mjon3,mjon4,mjon5,mjon6,mjon7,mjon8,mjon9,mjon10,mjon11,mjon12,mjon13,mjon14,mjon15,mjon16,mjon17,mjon18,mjon19,mjon20,mjon21,mjon22,mjon23,mjon24,mjon25,mjon26,mjon27,mjon28,mjon29,mjon30,mjon31,mjon32,mjon33,mjon34,mjon35,mjon36
0113LiNor,96,2,2,4,3,4,3,4,5,3,3,2,3,3,2,4,3,3,2,4,3,3,2,3,2,3,2,2,2,3,2,2,1,2,2,1,2
0696MaSil,82,2,1,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,4,4,4,4,4,3,5,3,4,4,4,4
0229LsTWS,112,4,4,4,4,4,4,5,3,5,1,1,1,3,1,1,1,1,1,1,1,1,3,5,1,5,5,2,5,5,1,5,4,5,5,5,5
0901MeLit,110,3,3,5,4,4,3,4,4,2,2,3,3,3,1,1,2,2,1,1,1,1,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4
0404LaSan,122,4,3,5,4,3,4,4,4,5,4,4,4,3,2,3,3,4,2,4,4,3,3,3,3,3,3,3,4,3,4,3,3,3,3,2,3
0220SaDeT,101,3,3,3,3,4,1,4,3,1,1,1,1,3,1,1,1,2,2,1,2,1,4,4,4,4,3,4,4,4,5,5,3,4,4,3,4
1121chsts,83,1,1,3,2,2,1,1,2,3,2,1,3,3,3,3,2,4,2,4,4,3,3,3,1,3,3,2,2,2,1,2,3,1,1,3,3
0709ChGis,90,2,2,1,2,3,1,2,2,1,2,1,2,2,1,3,2,1,1,1,2,2,4,4,3,4,4,4,4,3,3,4,4,3,3,3,4
[Decline to Answer],94,2,1,3,2,2,1,3,3,1,2,2,3,3,1,1,1,2,1,1,2,1,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4
0903CaSan,103,2,2,2,2,2,1,3,2,2,2,1,2,3,1,1,1,3,1,2,1,1,4,4,4,4,4,5,5,4,5,5,4,5,4,5,4
0922ChGeo,83,1,1,2,3,2,1,2,3,1,2,1,1,2,1,1,1,2,1,1,2,1,4,3,3,4,3,3,4,4,3,3,3,4,3,3,4
0912MaBro,85,2,2,1,3,4,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,4,3,3,4,4,3,3,3,3,3,4,4,3,4,4
0124anwev,104,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1008BeEas,86,1,1,1,2,1,1,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,3,4,3,4,3,4,5,4,4,5,4,4,3,4,4
0308StCon,116,4,4,4,4,4,3,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,2,2,3,3,2,2,3,2,2,2,2,2,2,3
0205erbish,95,2,1,1,2,2,1,3,2,4,2,1,2,3,1,1,2,1,1,2,2,1,4,3,4,4,4,4,3,4,5,4,3,5,5,3,3
0908cacas,91,1,2,3,3,3,2,3,2,2,2,1,2,2,2,1,1,2,2,1,2,1,3,4,3,4,3,3,4,3,3,4,3,4,4,3,3
0303elsan,101,3,3,4,3,2,2,3,3,3,1,2,2,3,2,2,2,2,2,1,2,1,3,3,4,4,4,3,3,3,4,4,3,4,4,3,4
0810KaSte,92,1,1,1,1,2,1,3,5,2,3,2,2,1,1,4,3,2,1,2,2,2,4,4,4,4,4,4,5,3,2,4,1,4,4,2,1
1112kavis,115,4,5,5,5,5,5,5,4,3,3,3,3,3,2,3,3,3,3,4,4,4,2,3,2,3,2,2,3,3,2,3,2,2,3,2,2
0531saLak,102,4,3,3,4,4,4,3,3,3,2,3,4,2,3,2,2,2,2,1,2,2,3,3,2,3,3,3,4,3,3,3,3,3,2,4,2
0107TrCed,85,1,1,1,2,2,1,3,2,1,1,1,1,2,1,1,1,2,1,1,1,1,4,3,4,4,4,4,3,3,4,4,4,4,3,4,5
0213JeDee,100,3,1,1,4,5,3,4,4,5,3,,3,4,1,3,2,4,3,,4,3,2,3,3,3,3,2,4,3,1,3,3,3,3,1,3
0720MeHig,111,3,3,4,2,3,4,4,2,2,1,1,2,2,4,5,4,3,5,4,4,5,1,4,2,3,3,3,3,4,4,3,2,4,3,2,3
0604MeMou,106,3,3,3,3,3,2,4,3,4,3,2,3,4,2,2,2,3,2,2,3,2,3,3,3,4,4,3,3,3,2,4,3,3,3,3,4
1107LiCre,86,1,2,2,2,2,,3,3,2,2,2,2,2,1,1,1,2,2,2,2,2,3,3,3,4,4,3,3,3,3,3,2,4,3,3,4
0313LaMon,90,2,1,2,2,2,1,3,2,1,1,1,1,2,1,1,1,2,1,2,3,1,4,3,3,5,4,3,3,4,3,5,4,4,4,3,5
0621NoRal,104,2,2,2,3,2,3,2,3,4,2,2,3,3,3,1,2,3,4,2,3,2,4,4,4,3,3,3,2,4,3,2,4,3,3,5,4
05monil,85,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1120maste,95,3,3,2,2,3,1,3,3,2,1,1,2,2,1,1,1,2,1,1,1,1,4,4,3,4,4,3,5,3,4,4,4,4,4,4,4
1019Jocan,106,3,1,2,3,3,1,3,4,2,2,1,1,3,1,1,2,2,1,1,3,1,4,4,4,5,5,4,4,4,4,4,4,5,4,5,5
0713CaSan,90,2,3,3,2,2,2,3,3,2,1,1,2,2,1,1,1,2,2,1,1,1,4,,4,4,4,4,3,4,3,5,3,4,3,4,3
[Decline to Answer],80,1,3,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,2,4,4,4,4,4,3,3,3,4,4,3,4,4
1009limag,125,3,4,5,4,4,5,4,5,4,4,4,4,5,2,3,3,4,3,4,4,3,3,3,2,3,3,3,3,3,4,3,2,3,3,3,3
0306tagui,93,2,2,2,3,4,2,3,2,2,3,2,3,3,2,2,2,2,2,2,2,2,3,3,2,4,3,2,4,2,2,4,3,3,3,3,3
[Decline to Answer],113,4,5,4,4,5,,5,4,5,3,4,3,4,4,4,4,4,4,4,4,4,2,4,1,3,3,2,4,2,3,,2,2,1,1,1
0416brale,110,4,4,3,2,4,3,4,4,4,2,3,2,3,2,3,2,3,2,3,3,2,3,3,2,4,3,3,5,4,3,3,2,4,3,3,3
0801KaLhs,83,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,1,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3
0207BoGra,97,1,3,2,4,4,2,4,3,2,2,1,1,2,1,1,1,2,1,2,2,1,3,4,4,4,4,3,2,4,3,5,4,4,2,4,5
0803kacas,94,1,3,4,3,3,4,4,4,4,4,1,2,4,3,1,2,3,4,3,3,1,3,2,2,4,3,2,1,2,1,1,3,2,1,2,4
1220aplak,95,2,1,1,3,2,1,3,3,4,3,2,3,4,3,2,1,3,3,1,3,1,3,2,4,4,4,2,3,3,3,3,2,4,2,3,4
0818kagws,109,2,3,2,2,3,4,4,3,3,2,2,3,3,2,2,2,2,3,3,3,2,4,3,4,4,4,4,4,4,3,2,3,4,3,4,4
0828abpal,84,1,1,2,1,1,1,2,2,2,2,1,2,3,1,1,1,3,1,1,1,1,4,3,3,4,3,3,4,4,3,4,4,4,3,3,4
02katra,96,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5
0906AnLon,119,2,3,2,4,3,1,2,5,4,3,5,4,4,2,4,4,3,1,4,4,4,4,3,3,4,3,3,3,4,3,5,4,2,4,3,3
[Decline to Answer],116,3,3,3,3,3,3,3,3,2,3,4,2,3,2,2,2,3,2,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0218DaTaf,86,2,1,1,1,2,1,2,1,2,1,2,2,2,1,1,2,2,2,1,2,1,3,3,4,4,4,3,4,4,3,4,4,4,3,4,3
0208MiCla,108,4,4,4,3,5,3,3,3,3,2,3,3,2,4,4,4,4,3,4,4,3,2,3,2,2,3,2,2,3,4,1,2,2,2,3,3
0107NaAUS,99,1,1,2,1,4,1,4,2,4,2,3,3,5,1,1,1,2,2,1,4,1,3,3,3,4,2,3,5,4,4,4,2,4,4,4,4
0221SaAbd,88,3,2,2,3,3,1,2,2,1,1,1,2,2,1,2,1,1,1,1,1,1,3,4,4,4,4,3,4,3,2,4,4,5,1,4,5
0307CaSeh,88,1,1,2,2,2,1,3,3,2,2,1,2,3,1,1,2,3,1,1,3,1,3,3,3,3,3,3,4,4,3,4,3,3,4,4,3
0318lenor,107,3,1,4,3,4,1,3,4,1,3,1,3,3,2,1,2,3,2,2,3,1,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4
0901JiBlu,90,1,1,4,2,1,1,1,3,3,3,3,3,3,2,2,3,4,4,1,4,2,3,3,3,3,3,3,3,3,1,3,2,3,2,1,3
0202BaAla,120,2,3,5,4,5,2,5,5,1,2,2,2,1,1,1,1,4,1,2,2,1,3,5,5,4,4,5,5,5,5,5,4,5,5,5,3
0119NoLaC,118,4,4,4,4,4,4,4,4,2,2,4,3,4,2,4,4,4,4,4,4,4,2,3,2,2,2,3,3,3,2,4,2,3,3,4,3
0823BeHer,106,2,2,2,3,3,3,5,3,4,3,2,3,3,2,3,3,4,2,4,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,2,3
0803PeWie,91,3,1,4,4,2,1,3,3,1,2,1,1,2,1,3,4,4,1,1,4,3,2,3,1,3,2,3,3,3,4,5,2,5,3,2,1
0929krdou,92,1,2,1,2,3,1,3,4,3,2,1,1,3,1,1,1,2,1,1,2,1,4,4,3,4,3,3,4,4,3,4,4,5,4,2,4
0503AnBro,91,2,2,2,2,2,2,3,3,2,1,1,1,2,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,3,4,3,5,4,4,4
[Decline to Answer],103,2,1,3,2,2,3,2,2,3,2,3,2,3,3,2,3,1,1,3,3,3,3,4,3,5,3,5,5,3,3,5,3,3,3,3,3
[Decline to Answer],91,1,2,1,1,2,1,2,1,2,2,1,2,3,1,2,1,1,1,1,2,1,4,4,1,5,4,4,4,4,3,5,4,5,4,5,4
0809KrMcn,84,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,3,2,3,4,3,4,3,4,5,5,5,4,4,3,4,3,2
0215PaEas,86,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,3,4,5,4,4,5,4,4,5,5,4,4,4,4
1216NaEvg,100,2,1,3,1,3,1,3,1,1,2,1,2,3,1,5,1,2,2,1,2,5,3,3,3,4,3,3,5,4,3,5,4,5,3,4,5
0721CaHar,90,1,1,1,2,3,1,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,4,4,3,4,4,3,5,5,4,5,3,5,4,3,4
0419LaHig,87,1,2,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4
1109DoLac,123,2,5,5,4,4,4,4,3,4,3,2,4,5,5,5,4,4,4,4,4,4,3,3,2,3,2,2,3,3,4,2,3,3,3,1,3
1228LiMon,100,2,2,3,2,3,2,3,2,3,2,2,2,3,2,2,2,2,1,2,2,2,3,4,3,4,4,4,4,4,3,4,3,3,3,4,4
0601keken,87,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,5,4,5,3,4,4
1201kearm,109,3,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3,3,3,3,3,4,3,2,2
0524JeNew,98,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,1,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
[Decline to Answer],86,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,4,3,5,4,4,4,4,4,4,5,4,5,1,5,4
0425SuNor,90,2,1,1,2,3,3,3,3,1,1,2,2,3,2,1,1,2,1,1,3,1,4,4,4,4,4,3,2,3,2,3,3,3,3,5,4
1127BeFai,88,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,4,4,4,4,5,3,3,4,3,4,4,4,4,4,4
Dep-LRY-4zb-nF6,91,2,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1,1,3,4,4,5,4,4,4,4,3,5,4,4,4,4,4
[Decline to Answer],98,2,3,3,2,4,2,4,2,3,3,1,2,3,1,1,1,2,3,1,1,1,3,4,3,4,4,4,4,4,3,3,2,5,3,3,4
[Decline to Answer],81,1,2,2,3,2,1,3,1,4,1,1,1,2,1,1,1,3,2,3,3,1,1,3,3,3,3,3,3,4,3,2,1,3,4,4,2
0724AlBro,84,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,4,5,4,4,3,4,3,5,5,4,5,3,5
1201AmFai,109,4,4,5,4,4,5,4,5,4,3,3,4,4,3,5,3,4,3,4,3,3,2,2,1,3,1,1,2,3,2,3,1,3,2,1,1
0805erbat,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,4,4,4,4,4,3,4,3,1,3,4,3,4,4
0210JeFus,108,1,3,3,4,4,4,4,3,5,3,3,2,4,1,3,2,3,1,2,2,1,2,3,3,3,2,3,3,4,3,5,2,5,4,4,4
0828DiNiw,100,1,1,2,2,3,2,2,1,3,2,2,2,3,2,1,4,2,2,1,2,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
0416deeas,111,3,4,5,4,4,4,5,5,3,1,1,2,3,2,1,2,2,1,3,2,2,4,4,3,4,3,4,4,4,4,2,2,4,3,4,3
0207StWas,91,1,1,1,1,2,1,2,2,1,3,1,3,3,1,1,4,1,1,1,1,1,4,4,4,5,4,4,4,4,4,5,4,1,4,3,4
1118CaDoCat,98,2,2,2,2,3,1,3,2,4,3,2,2,3,2,1,2,2,2,2,3,2,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3
0320ivran,99,3,1,3,3,2,1,3,2,3,2,1,1,3,1,1,1,2,1,2,2,1,4,4,4,4,4,4,4,4,5,3,4,4,4,4,4
0430cabla,93,1,1,1,2,2,1,2,2,3,3,3,3,4,3,3,4,4,3,4,3,3,3,2,2,3,2,3,2,3,2,3,3,3,2,3,2
0516BrRal,99,1,2,1,2,2,1,3,2,4,3,3,2,3,2,2,2,2,2,2,2,2,3,4,3,4,3,4,3,4,3,4,3,4,4,4,4
0125keFos,108,3,2,3,3,4,2,4,2,3,3,4,3,4,2,2,1,4,2,3,3,1,3,3,4,4,3,3,3,3,3,4,3,3,4,3,4
0912RoNew,117,1,4,4,4,3,4,4,4,1,3,4,1,1,3,2,4,3,3,2,3,4,3,2,4,4,4,4,4,4,4,5,2,4,4,4,3
0821rhhom,98,3,3,1,3,4,2,4,4,1,2,3,3,2,1,1,1,1,1,1,3,2,3,4,3,3,3,4,4,4,4,3,3,4,4,3,3
[Decline to Answer],85,1,2,1,1,1,1,1,1,3,1,1,1,3,1,1,1,2,1,1,1,1,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4
0906ChTar,106,3,2,4,3,2,1,3,3,3,3,3,2,3,3,2,2,2,4,2,3,2,3,4,2,4,3,3,4,4,4,2,3,4,4,4,3
1030BaPro,84,1,1,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,4,3,4,4,4,4,3,4,3,4,3,3,3,4,4
1010MeSta,98,3,2,5,2,3,1,2,2,3,2,2,4,3,2,3,2,2,3,2,3,2,2,4,2,3,3,2,4,3,2,5,3,4,3,2,3
1118kaken,82,1,1,2,2,2,1,1,2,3,2,1,3,2,1,1,1,2,1,1,2,1,4,3,2,4,3,3,3,4,3,4,4,3,3,3,3
0922JuNor,88,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,1,2,2,2,2,1,4,4,3,4,4,4,4,5,3,4,3,4,4,4,3
0504KiThu,93,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,5,5,5,5,4,5,4,5,4,5,4,5,4,4,5
0211CyDar,101,2,1,1,3,3,2,2,1,3,3,1,3,2,1,1,2,3,1,3,2,2,4,5,3,4,4,4,4,5,3,4,3,4,4,4,4
1003RoLak,88,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,,4,5,5,5,4,5,4,5,5,5,5,4,5
0116MaBou,107,3,1,4,2,4,1,2,5,4,3,4,3,2,3,2,3,2,2,1,4,3,4,3,2,4,4,3,3,4,4,3,4,3,2,2,4
0609lachu,91,2,1,1,2,2,1,1,2,3,2,1,1,2,1,1,1,2,2,1,1,1,5,5,4,5,4,5,3,4,3,4,4,5,3,4,2
0120LiRoc,104,2,3,3,3,4,2,4,4,4,2,2,4,4,3,3,3,3,3,4,4,3,3,3,2,3,3,2,2,3,2,2,2,3,2,3,2
0101maarc,81,2,1,2,1,4,1,3,1,2,5,1,1,1,1,1,2,4,2,2,3,2,2,3,2,3,3,2,3,4,3,,3,3,3,3,2
1026JeTam,90,1,1,2,2,2,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,1,4,4,4,4,4,4,4,4,2,5,4,4,4,4,4
0904somer,119,3,3,3,2,3,4,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
1030JeNor,90,1,1,1,3,2,1,1,2,1,2,1,2,3,1,1,1,2,2,1,1,1,4,3,4,4,4,3,4,5,3,5,4,4,3,4,5
1101magle,92,1,2,2,2,2,1,3,3,3,1,2,2,3,2,1,2,2,2,3,2,2,3,3,4,4,3,2,3,3,4,4,3,4,3,2,4
"07,29,SA,ASF",96,2,1,1,3,2,3,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,4,4,4,5,4,4,5,4,5,5,4,5,5,3,4
0604NePom,104,3,1,3,2,3,1,3,1,4,3,2,1,3,2,2,1,4,1,1,3,3,4,4,4,4,4,5,4,4,2,4,3,5,3,3,4
[Decline to Answer],91,3,2,3,4,2,2,2,3,3,2,2,3,4,2,2,2,3,2,3,3,3,2,2,2,3,3,2,2,3,2,2,3,3,2,2,3
0610crces,124,4,4,3,3,3,4,5,4,4,3,3,3,4,1,1,3,3,3,1,2,1,3,5,4,5,4,4,5,5,3,5,4,3,5,3,4
0628MeOla,110,2,2,4,3,4,2,4,3,3,2,3,3,4,1,1,1,4,1,1,2,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
0613WeVan,97,2,3,2,2,3,3,2,3,3,3,2,2,4,4,4,4,4,4,4,4,4,2,1,2,3,2,1,2,2,2,3,2,4,2,2,1
0323ansou,94,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,1,2,1,2,4,4,4,4,4,2,4,3,3,4,3,3,4,3,3
1006MaCha,103,3,2,4,3,4,4,4,3,4,4,1,4,4,2,3,1,3,1,,4,3,3,4,3,4,3,3,3,3,3,3,3,,3,2,2
1217ToLeg,81,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,4,4,3,4,4,4,3,3,3,4,3,4,3,4,4
1223jehig,88,1,1,1,2,2,1,2,2,2,2,1,2,3,1,1,1,2,1,1,2,1,4,3,3,4,4,4,4,4,3,4,3,5,3,4,4
0712lapio,88,1,1,2,2,2,3,3,2,1,1,1,2,2,1,2,1,2,1,1,2,1,4,4,3,4,4,3,3,4,3,4,4,4,3,3,4
0517DiEve,98,2,2,2,3,3,2,3,3,2,2,1,3,3,3,2,3,4,1,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,4,3,2
0204lahyd,85,2,1,2,2,2,1,2,2,1,3,3,1,3,1,1,1,2,2,2,2,1,3,3,3,4,3,3,3,3,3,4,3,4,3,3,3
1204AlFai,113,1,2,1,2,3,2,4,2,2,3,1,2,3,4,2,3,4,4,3,4,4,4,2,4,4,4,5,5,5,3,3,3,5,4,2,4
0418anfai,90,1,1,2,1,4,1,2,3,3,2,1,3,2,1,1,2,2,1,2,2,1,4,3,4,4,4,4,3,4,3,2,3,4,3,3,4
0922GaBer,102,3,2,2,2,2,2,2,3,3,3,3,3,4,2,2,2,3,2,2,3,2,3,4,4,4,3,2,4,4,2,4,3,3,3,3,4
0705JR,84,1,1,2,1,1,1,1,2,3,1,1,1,1,1,1,2,1,1,1,1,1,4,1,4,5,5,4,4,4,3,4,4,4,4,4,4
0223LaMon,94,4,2,3,4,4,2,3,3,2,3,1,2,4,1,1,1,3,2,2,2,1,3,4,3,3,3,3,3,3,2,3,3,3,2,2,4
0915MaChe,103,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,4,3,4,4,3,2,3,2,2,2,2,3,2,2,3,2,2,3,2,2
0819CLPAL,51,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,3,2,1,1,1,2,3,1,4
0508IsVid,105,3,4,4,2,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,2,3,3,3,4,2,3,3
0306KaBis,97,2,1,2,3,3,1,3,3,2,2,2,2,2,1,1,1,2,1,1,2,2,4,4,3,4,4,4,4,4,3,5,4,4,4,4,3
0316HeBro,101,2,3,3,2,2,1,3,2,2,1,1,2,2,1,1,1,1,2,1,1,1,4,4,4,4,5,5,5,4,3,5,5,5,4,4,5
[Decline to Answer],108,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1202kijoh,107,1,1,2,1,2,1,2,2,2,1,3,2,2,1,1,1,2,1,2,2,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5
1122ShMon,98,2,2,2,2,3,2,3,2,2,2,1,2,2,1,2,2,2,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4
1103albee,110,4,5,5,3,4,5,5,4,3,2,2,2,4,3,2,3,4,3,5,4,3,2,2,2,2,3,3,3,3,2,2,1,3,2,2,3
0411FoCen,104,2,2,2,3,3,2,3,2,3,2,2,3,3,1,1,2,3,1,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4
0217kaber,97,2,1,3,3,2,3,3,3,2,3,2,3,3,2,2,2,3,2,2,3,1,3,3,3,4,3,3,4,4,3,2,2,4,2,3,4
0710SuPin,92,2,1,2,2,2,2,2,2,3,2,1,2,3,2,2,2,2,2,2,2,2,4,3,3,4,4,4,2,4,3,3,3,3,3,3,4
0104kamet,98,3,3,4,3,4,3,2,2,3,2,1,2,2,4,3,3,4,4,2,3,2,2,3,2,3,3,3,3,3,2,2,3,2,1,4,3
0222rehom,95,3,3,3,3,4,3,4,4,3,2,1,2,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2
Masconomet18!,113,1,4,3,2,3,4,5,3,3,2,3,2,3,2,3,2,2,2,2,2,2,4,4,4,4,4,5,4,4,3,4,3,5,3,3,4
1105jeroo,108,3,2,3,3,3,1,4,3,4,4,3,3,4,2,3,3,2,3,2,3,4,3,3,2,4,3,2,5,4,3,3,2,4,4,2,2
1001jadev,103,2,2,1,2,3,3,3,3,2,2,1,1,2,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
0429lidss,93,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,4,4,4,4,3,3,3,3,2,4,5,4,3,4
1230jemul,104,2,2,3,2,3,3,3,4,2,1,2,2,4,2,3,3,2,3,2,2,2,3,4,4,4,4,3,4,3,3,4,2,4,4,3,3
1227decor,87,2,1,1,2,2,1,2,2,1,1,1,1,3,1,1,1,2,2,1,2,1,4,4,4,4,4,1,4,4,4,4,3,4,4,4,4
0207kiche,95,2,1,1,2,2,2,4,3,3,1,3,1,2,1,1,1,3,1,2,2,1,4,4,3,3,4,3,5,4,4,4,3,4,5,4,2
0604DaCha,87,1,1,3,2,3,4,3,5,2,2,1,2,2,2,1,1,1,1,1,2,1,4,3,2,4,2,3,2,4,4,3,2,3,3,3,4
0217SiFai,96,2,2,1,2,2,1,2,3,2,2,2,2,2,1,2,2,2,1,1,2,2,4,4,4,4,4,4,4,4,3,5,3,4,3,4,4
0612cemul,81,4,2,3,4,4,3,4,3,2,1,1,1,1,2,2,3,3,3,3,4,2,2,1,1,2,1,1,2,2,1,2,2,1,1,4,3
1102ArLak,120,4,3,3,4,4,1,4,3,2,3,5,3,4,3,3,3,4,3,1,4,3,3,2,3,3,4,5,4,3,5,4,2,5,3,4,3
0505SuVen,92,1,2,1,2,2,3,2,1,4,2,1,2,3,1,2,2,2,1,1,2,2,4,5,3,4,4,4,3,2,5,3,3,3,3,3,4
1209MiLac,84,1,1,1,1,1,1,1,1,1,2,1,3,3,1,2,1,1,1,1,1,1,4,3,4,4,4,4,3,4,3,4,3,5,3,5,4
0627chwes,119,4,4,4,5,5,5,5,4,3,2,4,2,2,2,3,3,4,2,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
0105ginic,122,3,2,3,3,4,3,4,3,4,4,3,3,4,2,2,2,3,3,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0113YoGra,117,3,2,4,4,3,2,4,3,3,3,2,3,4,4,4,3,4,3,4,4,4,2,4,3,3,3,4,3,4,4,2,3,3,3,3,3
1017TaWoo,84,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
0926MePra,107,3,3,3,2,3,3,3,3,4,3,2,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1004AnFai,95,3,1,1,4,3,3,3,2,2,1,2,2,1,2,1,1,3,3,1,2,2,3,3,4,4,4,4,3,3,3,4,3,4,2,4,4
1016YvLee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130LyChe,99,1,1,2,3,3,2,4,2,1,2,1,1,2,3,1,3,3,1,1,3,1,4,4,4,4,4,4,3,4,5,4,3,4,3,4,4
1004copac,83,1,1,3,2,2,1,1,2,1,3,1,1,3,1,1,1,2,1,1,1,1,4,3,3,4,3,3,4,3,3,3,4,4,3,4,4
0521StArv,118,4,4,4,4,4,4,4,5,4,2,3,3,4,2,2,3,3,3,2,3,3,3,4,3,3,3,3,4,3,4,3,2,4,3,3,3
1003CaRoc,121,4,3,5,5,4,5,4,5,5,3,4,3,4,3,3,4,4,4,5,3,3,3,3,3,3,3,3,3,3,2,3,2,,4,,3
1027MeEas,91,1,1,1,3,3,1,3,3,3,3,3,,3,1,1,1,3,3,1,2,1,3,3,3,4,3,4,3,4,3,4,4,3,3,3,3
[Decline to Answer],91,2,1,3,1,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,1,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4
10ralcc,89,1,1,2,2,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,4,5,3,4,4,4,5,4,4,3,3,4,4,3,4
0319jevai,89,2,3,3,2,4,3,4,2,2,1,1,1,2,1,1,1,2,1,1,2,1,4,3,4,4,4,3,3,4,2,4,3,4,1,3,3
0103LaDex,94,2,3,3,2,4,1,4,4,2,2,2,2,2,1,1,2,3,1,3,3,2,2,1,2,3,3,3,4,4,5,3,3,3,4,2,3
0506krjac,95,1,1,1,2,1,1,2,2,1,2,1,2,2,1,1,1,2,1,1,1,1,4,4,5,5,5,4,5,4,4,5,5,4,5,4,4
0225StSta,118,3,4,5,3,5,4,5,3,4,3,3,3,4,5,3,4,5,5,5,5,5,2,3,2,2,2,2,2,3,3,1,1,2,2,2,3
