IDCode,Section Sum,mjon1,mjon2,mjon3,mjon4,mjon5,mjon6,mjon7,mjon8,mjon9,mjon10,mjon11,mjon12,mjon13,mjon14,mjon15,mjon16,mjon17,mjon18,mjon19,mjon20,mjon21,mjon22,mjon23,mjon24,mjon25,mjon26,mjon27,mjon28,mjon29,mjon30,mjon31,mjon32,mjon33,mjon34,mjon35,mjon36
0425kiDee,116,4,4,4,3,4,4,4,5,3,4,4,4,4,3,2,3,3,4,4,3,3,2,1,3,3,3,2,3,2,4,3,2,3,3,3,3
0425KaChe,104,3,3,3,3,4,3,4,2,3,3,1,3,3,2,3,2,3,2,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
1012ChThu,108,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0630trKen,83,1,2,1,1,1,2,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,4,4,5,2,2,4,5,4,2,4
0312LaMia,102,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1115sasai,112,4,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3
0828FaGra,95,3,1,3,3,3,2,2,4,3,3,3,3,3,1,4,3,4,3,4,4,3,3,3,2,2,2,2,2,2,2,2,2,4,2,1,2
0617EmFai,76,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,4,4,4,4,4,4,4,4,3,4,4,1,1,4,3
0411RhEas,102,1,4,4,5,4,3,3,5,4,2,1,2,3,1,3,2,3,3,2,3,2,2,3,2,3,3,2,3,3,5,3,2,4,3,1,3
0401gistv,118,2,5,5,5,4,5,5,5,3,3,4,4,2,3,3,3,3,3,4,3,4,3,2,1,3,2,2,2,3,4,4,2,4,3,3,2
0725AmNot,112,3,4,5,3,5,5,5,3,3,2,2,2,2,1,3,4,3,1,2,3,2,4,3,3,4,4,4,3,3,3,4,3,3,2,3,3
[Decline to Answer],73,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,3,3,4,4,4,2,3,3,2,4,4,3,3,3,3
1030tioak,95,1,1,2,2,2,1,2,2,1,1,1,2,3,1,1,1,2,1,1,2,1,5,3,5,5,5,5,3,5,4,4,4,4,3,4,5
0804EiDis,93,1,1,1,1,3,1,2,3,2,2,1,3,3,1,1,1,2,1,1,1,1,4,5,4,4,4,3,3,4,3,5,4,4,4,5,4
0820KaDis,108,3,2,2,3,3,2,3,4,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,4,4,3,5,4,3,4
0503MeHow,109,4,4,4,4,4,3,4,4,2,2,3,3,3,2,5,3,4,3,3,4,3,2,3,2,2,3,3,3,3,2,3,2,3,2,2,3
0809DaSho,98,2,2,4,3,2,2,4,4,3,2,2,2,3,2,2,2,2,1,2,3,2,3,3,3,4,3,3,2,3,3,3,2,4,3,4,4
1130lydou,103,1,2,3,3,3,3,4,3,4,2,3,2,3,2,2,2,3,2,2,3,2,3,3,2,4,3,2,4,4,5,4,3,4,3,2,3
0112IlMou,117,2,3,3,3,4,3,4,4,4,3,3,4,4,2,3,4,4,3,3,3,3,3,4,4,3,3,3,3,3,2,4,2,4,4,2,4
0426LiNiw,97,2,1,2,2,3,1,3,1,2,3,2,1,3,3,2,2,2,1,2,3,2,4,4,3,4,3,4,4,4,4,4,4,4,3,2,3
08CiLcc,100,2,2,3,2,2,1,2,2,3,3,1,3,3,2,3,3,3,3,2,2,3,3,3,4,4,3,4,3,3,3,4,3,3,3,3,4
0807SuCat,121,3,2,4,3,5,4,5,3,1,2,1,1,2,1,1,2,3,1,2,2,2,5,4,5,5,5,4,5,4,5,5,5,5,5,4,5
0212BaBen,77,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,3,4,3,3,3,4,4,3,3,4,4,5,3,3,4
0501ShRal,90,2,1,3,2,2,1,2,2,2,3,1,2,3,2,2,1,2,3,1,2,1,4,4,4,4,3,4,4,3,3,3,3,4,2,2,3
0307jefai,92,2,2,1,1,2,3,4,2,1,1,1,2,2,1,1,1,2,1,1,2,1,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4
0214mishr,87,1,2,3,3,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4
1005MiWes,101,2,2,2,2,3,2,3,2,3,3,2,4,3,1,2,1,3,1,1,3,2,3,3,4,4,4,3,4,4,2,5,4,4,3,3,4
0427MECAZ,95,1,1,2,3,2,3,2,1,3,1,1,2,3,1,1,1,2,1,2,1,1,4,4,4,5,4,4,5,4,3,5,4,3,3,4,4
